Preprocessed,Stopword
Kandungan Inactivated Hepatitis A virus 160 unit-internasional Inactivated Hepatitis A virus 80 unit-internasional Bentuk Syringe Satuan Penjualan Box Kemasan Box 1 Prefilled Syringe,Inactivated Hepatitis A virus 160 unit-internasional Inactivated Hepatitis A virus 80 unit-internasional Syringe Satuan Penjualan Box Box 1 Prefilled Syringe
Informasi terlengkap tentang AVELOX TABLET 400 miligram  Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis,Informasi terlengkap tentang AVELOX 400 miligram Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis
Tiap kemasan Avesco Tablet mengandung sebagai berikut Atorvastatin calcium 10 miligram tablet Atorvastatin calcium 20 miligram tablet Atorvastatin calcium 40 miligram tablet,Avesco mengandung Atorvastatin calcium 10 miligram Atorvastatin calcium 20 miligram Atorvastatin calcium 40 miligram
AV F AZA krim adalah obat oles yang digunakan untuk mengatasi jerawat,AV F AZA krim adalah oles digunakan mengatasi jerawat
Obat ini merupakan obat keras dan mengandung asam azelaic sebagaiaktif,ini merupakan keras dan mengandung asam azelaic aktif
AVIL 25 miligram TABLETIndikasi Kegunaan Meredakan alergi Kandungan  Setiap tablet mengandung Feniramin hidrogen maleat 25 miligram Dosis Dewasa dan anak berusia > 12 tahun 1 2 tablet 2-3 kali sehari dapat ditingkatkan hingga 1 tablet 3 kali sehari Cara Pemakaian,AVIL 25 miligram TABLETIndikasi Kegunaan Meredakan alergi mengandung Feniramin hidrogen maleat 25 miligram Dosis Dewasa dan anak berusia > 12 tahun 1 2 2-3 kali sehari dapat ditingkatkan hingga 1 3 kali sehari Cara Pemakaian
"Tiap sachet Aviter mengandung sebagai berikut Malic acid 700 miligram Glucosamine HCl 800 miligram L-arginine HCl 800 miligram Glycine 333 miligram Glycyrrhizinic acid 33,3 miligram Zinc sulfate 5 miligram Calcium pantothenate 3 miligram Pyridoxine 0,6 miligram Item lainnya","Aviter mengandung Malic acid 700 miligram Glucosamine HCl 800 miligram L-arginine HCl 800 miligram Glycine 333 miligram Glycyrrhizinic acid 33,3 miligram Zinc sulfate 5 miligram Calcium pantothenate 3 miligram Pyridoxine 0,6 miligram Item lainnya"
Deskripsi obat Avocel adalah obat yang digunakan untuk mengatasi rhinitis alergi rhinitis akut dan biduran Obat ini merupakan obat keras yang memerlukan resep dokter Avocel mengandung levocetirizine dihydrochloride sebagaiaktif,Avocel adalah digunakan mengatasi rhinitis alergi rhinitis akut dan biduran ini merupakan keras memerlukan resep dokter Avocel mengandung levocetirizine dihydrochloride aktif
"AVODART 0,5 miligram merupakan obat yang digunakan pada pria untuk mengobati gejala pembesaran prostat Avodart mengandung Dutasteride bekerja dengan menghambat pembesaran prostat","AVODART 0,5 miligram merupakan digunakan pada pria mengobati gejala pembesaran prostat Avodart mengandung Dutasteride bekerja dengan menghambat pembesaran prostat"
Avogen EGolongan Vitamin dan Suplemen Kelas Terapi Vitamin dan Suplemen Kandungan Biomarine protein 280 miligram Vitamin E d-alpha tocopheryl acetate 25 miligram Vitamin C ascorbic acid 60 miligram Ekstrak carrot betacarotene 50 miligram Bentuk Kapsul Satuan Penjualan Box Kemasan 1 Box 30 Kapsul Farmasi Avopharm,Avogen EGolongan Vitamin dan Suplemen Kelas Terapi Vitamin dan Suplemen Biomarine protein 280 miligram Vitamin E d-alpha tocopheryl acetate 25 miligram Vitamin C ascorbic acid 60 miligram Ekstrak carrot betacarotene 50 miligram Satuan Penjualan Box 1 Box 30 Farmasi Avopharm
Avram Tablet Golongan Obat Keras Kelas Terapi Antipsikotik Kandungan Aripiprazole 5 miligram Aripiprazole 10 miligram Aripiprazole 15 miligram Bentuk Tablet Satuan,Avram Golongan Keras Kelas Terapi Antipsikotik Aripiprazole 5 miligram Aripiprazole 10 miligram Aripiprazole 15 miligram Satuan
Axamed Astaxanthin 4 miligram SUPER ANTI OKSIDAN isi 30 isi lebih banyak harga lebih ekonomis Harga utk 1 Box segel 3 Strips 10 Licaps isi lebih banyak harga lebih ekonomis BPOM POM SD 101.340.971 AXAMED mengandung Astaxanthin yang dapat menetralkan Okigen yang ter-Oksidasi sehingga dikatakan sebagai SUPER ANTI,Axamed Astaxanthin 4 miligram ANTI OKSIDAN isi 30 isi lebih banyak harga lebih ekonomis Harga utk 1 Box segel 3 Strips 10 Licaps isi lebih banyak harga lebih ekonomis BPOM POM SD 101.340.971 AXAMED mengandung Astaxanthin dapat menetralkan Okigen ter-Oksidasi sehingga dikatakan ANTI
Axaprofen adalah obat yang mengandung Paracetamol dan Ibuprofen diproduksi oleh Sampharindo Perdana,Axaprofen adalah mengandung Paracetamol dan Ibuprofen diproduksi oleh Sampharindo Perdana
Kedua  Axaprofentersebut masuk kedalam golongan Obat Anti Inflamasi Non Steroid OAINS .,Kedua Axaprofentersebut masuk ke golongan Anti Inflamasi Non Steroid OAINS .
Tiap kemasan Axofen mengandung sebagai berikut Ibuprofen 400 miligram kaplet Ibuprofen 100 miligram 5 mililiter Syrup,Axofen mengandung Ibuprofen 400 miligram kaplet Ibuprofen 100 miligram 5 mililiter
Informasi terlengkap tentang AXTAN 4 miligram 10 KAPSUL,Informasi terlengkap tentang AXTAN 4 miligram 10
AZA 20 CREAM Pengobatan akne vulgaris ringan sampai sedang,AZA 20 CREAM Pengobatan akne vulgaris ringan sampai sedang
AZA 20 mengandung azelaic acid Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER,AZA 20 mengandung azelaic acid penggunaan ini harus SESUAI DENGAN PETUNJUK DOKTER
AZARGA TETES MATA 5 MLIndikasi Kegunaan Mengobati tekanan tinggi di bola mata glaukoma Kandungan  Setiap 1 mililiter suspensi mengandung 10 miligram brinzolamid dan 5 miligram timolol Dosis Satu tetes pada mata yang sakit dua kali sehari Cara Pemakaian Kemasan Botol 5 mililiter Golongan,AZARGA TETES MATA 5 MLIndikasi Kegunaan Mengobati tekanan tinggi di bola mata glaukoma 1 mililiter suspensi mengandung 10 miligram brinzolamid dan 5 miligram timolol Dosis Satu tetes pada mata sakit dua kali sehari Cara Pemakaian Botol 5 mililiter Golongan
Ada sejumlah efek interaksi obat yang bisa terjadi jika azithromycin digunakan bersamaan dengan obat lain di antaranya Peningkatan kadar,Ada sejumlah efek interaksi bisa terjadi jika azithromycin digunakan bersamaan dengan lain di antaranya Peningkatan
Gonore Dewasa 2 gram Infeksi genital karena klamidia Dewasa 1 gram Pneumonia Dewasa 500 miligram melalui saluran intravena,Gonore Dewasa 2 gram Infeksi genital karena klamidia Dewasa 1 gram Pneumonia Dewasa 500 miligram melalui saluran intravena
Golongan Obat Keras Kelas Terapi Antibiotik Kandungan Azithromycin 500 miligram Bentuk Tablet Satuan penjualan Stripe Kemasan Box 3 Strip,Golongan Keras Kelas Terapi Antibiotik Azithromycin 500 miligram Satuan penjualan Stripe Box 3 Strip
Informasi terlengkap tentang AZMACON 2 miligram 10 TABLET,Informasi terlengkap tentang AZMACON 2 miligram 10
AZOL TAB mengandung Danazol yang biasanya digunakan oleh wanita untuk mengobati nyeri panggul dan kemandulan yang disebabkan oleh gangguan rahim endometriosis dan mengobati nyeri pada payudara serta nodul yang muncul akibat payudara fibrokistik,AZOL TAB mengandung Danazol biasanya digunakan oleh wanita mengobati nyeri panggul dan kemandulan disebabkan oleh gangguan rahim endometriosis dan mengobati nyeri pada payudara serta nodul muncul akibat payudara fibrokistik
AZOMAX 500 miligram KAPLET Mengandung azithromycin azitromisin untuk melawan infeksi dari bakteri yang rentan Obat ini digunakan untuk mengobati infeksi bakteri seperti infeksi pernapasan infeksi kulit infeksi telinga dan penyakit menular seksual,AZOMAX 500 miligram KAPLET Mengandung azithromycin azitromisin melawan infeksi dari bakteri rentan ini digunakan mengobati infeksi bakteri seperti infeksi pernapasan infeksi kulit infeksi telinga dan penyakit menular seksual
AZOPT 1% EYE DROPS merupakan obat yang digunakan untuk membantu mengobati Glaukoma peningkatan cairan pada mata sudut terbuka dan Hipertensi okular Hipertensi pada mata .,AZOPT 1% EYE DROPS merupakan digunakan membantu mengobati Glaukoma peningkatan cairan pada mata sudut terbuka dan Hipertensi okular Hipertensi pada mata .
Azopt mengandung brinzolamide Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER,Azopt mengandung brinzolamide penggunaan ini harus SESUAI DENGAN PETUNJUK DOKTER
Deskripsi Azovir adalah obat yang digunakan untuk mengobati herpes simplex herpes zoster herpes genital dan cacar,Azovir adalah digunakan mengobati herpes simplex herpes zoster herpes genital dan cacar
Azovir mengandung acyclovir obat yang termasuk sebagai antivirus,Azovir mengandung acyclovir termasuk antivirus
Informasi terlengkap tentang AZTERCON KAPLET 500 miligram  Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis,Informasi terlengkap tentang AZTERCON KAPLET 500 miligram Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis
Deskripsi obat Aztrin kapsul adalah obat yang digunakan untuk mengobati infeksi saluran napas bawah infeksi saluran napas atas infeksi kulit dan jaringan lainnya,Aztrin adalah digunakan mengobati infeksi saluran napas bawah infeksi saluran napas atas infeksi kulit dan jaringan lainnya
Aztrin mengandung azithromycin yang termasuk dalam golongan antibiotik makrolida yang mempunyai spektrum luas,Aztrin mengandung azithromycin termasuk golongan antibiotik makrolida mempunyai spektrum luas
Baby care salep ruam popok digunakan sebagai terapi tambahan pada bayi yang mengalami ruam popok kulit kering iritasi kulit karena sengatan matahari inflamasi kulit dan tukak pada kulit,Baby care salep ruam popok digunakan terapi tambahan pada bayi mengalami ruam popok kulit iritasi kulit karena sengatan matahari inflamasi kulit dan tukak pada kulit
Setiap 1 gram Babycare mengandung 50 miligram Dexpanthenol,1 gram Babycare mengandung 50 miligram Dexpanthenol
Babygesic drops adalah obat yang digunakan sebagai penurun demam untuk segala usia dan pereda nyeri seperti sakit kepala sakit gigi dan,Babygesic drops adalah digunakan penurun demam segala usia dan pereda nyeri seperti sakit kepala sakit gigi dan
Deskripsi Bacbutol 500 miligram merupakan obat yang diproduksi oleh Armoxindo Farma dengan kandungan bahan ethambutol 500 miligram Ethambutol adalah antibiotik yang menghambat pertumbuhan TB bacilli dengan mengganggu pembentukan dinding sel bakteri sehingga akan menyebabkan peningkatan permeabilitas dinding sel bakteri,Bacbutol 500 miligram merupakan diproduksi oleh Armoxindo Farma dengan bahan ethambutol 500 miligram Ethambutol adalah antibiotik menghambat pertumbuhan TB bacilli dengan mengganggu pembentukan dinding sel bakteri sehingga akan menyebabkan peningkatan permeabilitas dinding sel bakteri
Informasi terlengkap tentang BACITRACIN POLYMYXIN B OINTMENT 5 gram,Informasi terlengkap tentang BACITRACIN POLYMYXIN B OINTMENT 5 gram
BACTESYN TABLETINFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS,BACTESYN TABLETINFORMASI INI HANYA KALANGAN MEDIS
Sultamicillin 375 miligram Ampicillin 250 miligram sulbactam 125 miligram Dewasa dan anak > 30 kg 375 750 miligram 2 kali sehari,Sultamicillin 375 miligram Ampicillin 250 miligram sulbactam 125 miligram Dewasa dan anak > 30 kg 375 750 miligram 2 kali sehari
Berikan bersama makanan Dus 3 Stripe 10 Kaplet Hipersensitif terhadap penisilin Pertumbuhan mikroorganisme yang tidak rentan Item lainnya,Berikan bersama makanan 3 Stripe 10 Kaplet Hipersensitif terhadap penisilin Pertumbuhan mikroorganisme rentan Item lainnya
"BACTIGRAS Chlorhexidine acetate 0,5%, white soft paraffin sterile leno weave Bentuk sediaan Plester 10 10 cm dan 15 20 cm Farmakologi Chlorhexidine acetate 0,5% sebagai antiseptik dengan spektrum yang luas Indikasi","BACTIGRAS Chlorhexidine acetate 0,5%, white soft paraffin sterile leno weave sediaan Plester 10 10 cm dan 15 20 cm Farmakologi Chlorhexidine acetate 0,5% antiseptik dengan spektrum luas Indikasi"
Bactirom adalah obat yang digunakan untuk mengobati infeksi saluran pernafasan infeksi kulit dan jaringan lunak serta infeksi saluran kemih isk dan kelamin,Bactirom adalah digunakan mengobati infeksi saluran pernafasan infeksi kulit dan jaringan lunak serta infeksi saluran kemih isk dan kelamin
Bactirom mengandung Cefpirome antibiotik golongan cephalosporin generasi keempat yang terhadap bakteri gram negatif mapun gram positif,Bactirom mengandung Cefpirome antibiotik golongan cephalosporin generasi keempat terhadap bakteri gram negatif mapun gram positif
BACTOPRIM COMBI SIRUP 50 MLInfeksi saluran pencernaan saluran pernapasan kulit dan infeksi lain yang disebabkan oleh mikroorganisme yang rentan terhadap Kotrimoksazol Deskripsi,BACTOPRIM COMBI SIRUP 50 MLInfeksi saluran pencernaan saluran pernapasan kulit dan infeksi lain disebabkan oleh mikroorganisme rentan terhadap Kotrimoksazol
Per 5 mililiter Co-Trimoxazole Trimethoprim 40 miligram Sulfamethoxazole 200 miligram PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER,Per 5 mililiter Co-Trimoxazole Trimethoprim 40 miligram Sulfamethoxazole 200 miligram PENGGUNAAN INI HARUS SESUAI DENGAN PETUNJUK DOKTER
Dikonsumsi bersamaan dengan makanan Item lainnya,Dikonsumsi bersamaan dengan makanan Item lainnya
Bactraz adalah obat yang termasuk dalam golongan antibiotik beta laktam Bactraz memiliki kandunganaktif Sulbactam yang digunakan untuk menghambat,Bactraz adalah termasuk golongan antibiotik beta laktam Bactraz memiliki kandunganaktif Sulbactam digunakan menghambat
Bactrim mengandung kombinasi dari dua antibiotik yaitu Sulfametoksazol dan Trimetoprim atau bisa disebut dengan Co-Trimoxazole,Bactrim mengandung kombinasi dari dua antibiotik yaitu Sulfametoksazol dan Trimetoprim bisa disebut dengan Co-Trimoxazole
Bactrim digunakan untuk membantu mengobati berbagai macam infeksi akibat bakteri seperti infeksi pada telinga tengah infeksi saluran kemih pernapasan dan infeksi usus,Bactrim digunakan membantu mengobati berbagai macam infeksi akibat bakteri seperti infeksi pada telinga tengah infeksi saluran kemih pernapasan dan infeksi usus
Obat Bactrizol Berita Terkini Obat Bactrizol Terlengkap dari Pengertian Info,Bactrizol Berita Terkini Bactrizol Terlengkap dari Pengertian Info
Golongan Obat Keras Kelas Terapi Antibiotik Kandungan Per 5 mililiter,Golongan Keras Kelas Terapi Antibiotik Per 5 mililiter
"Balsem Baljitot memberikan efek panas berganda dengan  Methyl salicylate 30%Menthol 18,5%Camphor 12,5%Ekstrak jahe merah 0,1%","Balsem Baljitot memberikan efek panas berganda dengan Methyl salicylate 30%Menthol 18,5%Camphor 12,5%Ekstrak jahe merah 0,1%"
"Deskripsi obat Balsem balpirik hijau mengandung minyak kayu putih cajuputi , minyak ekaliptus eucalypti , menthol camphor minyak peppermint minyak cengkeh clove , methyl salicylate dan vaselin album","Balsem balpirik hijau mengandung minyak kayu putih cajuputi , minyak ekaliptus eucalypti , menthol camphor minyak peppermint minyak cengkeh clove , methyl salicylate dan vaselin album"
Balsem Cap Badak membantu meringankan sakit kepala pegal-pegal nyeri otot keseleo gatal-gatal akibat gigitan serangga,Balsem Cap Badak membantu meringankan sakit kepala pegal-pegal nyeri otot keseleo gatal-gatal akibat gigitan serangga
"Balsem ini mengandung Methyl salicylate 1 %, Menthol 4 %, Camphora 10 % dan Essential oil 12 %.","Balsem ini mengandung Methyl salicylate 1 %, Menthol 4 %, Camphora 10 % dan Essential oil 12 %."
BALSEM CAP KAKI TIGA,BALSEM CAP KAKI TIGA
Balsem Cap Kaki Tiga mengandung Clove Oil Minyak Cengkeh yang membantu meringankan pusing sakit kepala masuk angin dan membantu meredakan gatal-gatal karena gigitan serangga dan juga cocok untuk pijat,Balsem Cap Kaki Tiga mengandung Clove Oil Minyak Cengkeh membantu meringankan pusing sakit kepala masuk angin dan membantu meredakan gatal-gatal karena gigitan serangga dan juga cocok pijat
Obat Balsem Cap Tawon Berita Terkini Obat Balsem Cap Tawon Terlengkap dari,Balsem Cap Tawon Berita Terkini Balsem Cap Tawon Terlengkap dari
Golongan Jamu Kelas Terapi Topikal Analgesik Kandungan Menthol,Golongan Jamu Kelas Terapi Topikal Analgesik Menthol
CAP DRAGON BALSEM KUNING 36 GAroma balsam yang tajam aromatic dapat mencegah mual dan mabuk perjalanan Untuk meredakan kepala pusing bisa dioleskan pada tengkuk dan pelipis,CAP DRAGON BALSEM KUNING 36 GAroma balsam tajam aromatic dapat mencegah mual dan mabuk perjalanan meredakan kepala pusing bisa dioleskan pada tengkuk dan pelipis
"Champora 10 %, Mentholum 7,5 %, Cassia Oil 3,5 %, Peppermint Oil 10 %Sesuai kebutuhan Pot 36 gram Consumer Goods Dragon Prima Farma","Champora 10 %, Mentholum 7,5 %, Cassia Oil 3,5 %, Peppermint Oil 10 %Sesuai kebutuhan Pot 36 gram Consumer Goods Dragon Prima Farma"
Kandungan bahan dalam Balsem Lang adalah L-menthol 155 miligram eucalyptus oil 195 miligram methyl salicylate 80 miligram dan champor 40 miligram Kandungan menthol pada Balsem lang dapat juga digunakan untuk meredakan gejala flu Aroma khas dari minyak kayu putih dapat digunakan untuk mencegah mabuk perjalanan,bahan Balsem Lang adalah L-menthol 155 miligram eucalyptus oil 195 miligram methyl salicylate 80 miligram dan champor 40 miligram menthol pada Balsem lang dapat juga digunakan meredakan gejala flu Aroma khas dari minyak kayu putih dapat digunakan mencegah mabuk perjalanan
LION HEAD BALSEM PUTIH CAP SINGA 13 G Membantu meringankan sakit kepala sakit pinggang pegal linu gatal-gatal digigit serangga Deskripsi,LION HEAD BALSEM PUTIH CAP SINGA 13 G Membantu meringankan sakit kepala sakit pinggang pegal linu gatal-gatal digigit serangga
Tiap gram mengandung menthol 45 miligram camphora 17 miligram oil 170 miligram dan basis ad 100% Secukupnya sesuai kebutuhan Oleskan balsem dan gosokkan pada bagian tubuh yang sakit Pot 14 G -Item lainnya,gram mengandung menthol 45 miligram camphora 17 miligram oil 170 miligram dan basis ad 100% Secukupnya sesuai kebutuhan Oleskan balsem dan gosokkan pada bagian tubuh sakit Pot 14 G -Item lainnya
TRESNOJOYO BALSEM TELON 40 G Meringankan gejala pilek dan batuk karena flu untuk bayi dan anak Deskripsi,TRESNOJOYO BALSEM TELON 40 G Meringankan gejala pilek dan batuk karena flu bayi dan anak
"Metil Salisilat 30%, Menthol 18,5%, Camphor 12,5%, Ekstrak Jahe Merah 0,1%Sesuai kebutuhan Aturan Pakai","Metil Salisilat 30%, Menthol 18,5%, Camphor 12,5%, Ekstrak Jahe Merah 0,1%Sesuai kebutuhan Aturan Pakai"
Pot 40 G Herbal Ultrasakti,Pot 40 G Herbal Ultrasakti
TIGER BALM WHITE 20 G Mengatasi sakit kepala meredakan hidung tersumbat perut kembung dan gatal akibat digigit serangga,TIGER BALM WHITE 20 G Mengatasi sakit kepala meredakan hidung tersumbat perut kembung dan gatal akibat digigit serangga
Tiap Gram Mengandung Camphora 250 miligram Dementholised Mint Oil 160 miligram Cajuput Oil 130 miligram Mentholum 80 miligram Clove Oil 15 miligram Paraffin Petrolatum Ad 1 Gram Gunakan sesuai kebutuhan Item lainnya,Gram Mengandung Camphora 250 miligram Dementholised Mint Oil 160 miligram Cajuput Oil 130 miligram Mentholum 80 miligram Clove Oil 15 miligram Paraffin Petrolatum Ad 1 Gram Gunakan sesuai kebutuhan Item lainnya
"TJING TJAU BALSEM 10 GSebagai obat gosok untuk meredakan sakit kepala mual nyeri otot gatal-gatal karena gigit serangga camphora 20%, menthol 18%, papermint oil 2%, cassia pil 1,5%, wax 13,5%, aselin 45%Aturan Pakai","TJING TJAU BALSEM 10 G gosok meredakan sakit kepala mual nyeri otot gatal-gatal karena gigit serangga camphora 20%, menthol 18%, papermint oil 2%, cassia pil 1,5%, wax 13,5%, aselin 45%Aturan Pakai"
Pot 10 G 1 Tidak digunakan dibawah lubang hidung bawah mata luka terbuka dan jangan digunkan untuk anak-anak Item lainnya,Pot 10 G 1 digunakan dibawah lubang hidung bawah mata luka terbuka dan jangan digunkan anak-anak Item lainnya
BAMGETOL Kapl salut selaput 200 miligram mengandung Carbamazepine BAMGETOL Kapl salut selaput 200 miligram digunakan untuk mencegah dan mengontrol kejang BAMGETOL Kapl salut selaput 200 miligram dikenal sebagai antikonvulsan atau obat anti-epilepsi BAMGETOL Kapl salut selaput 200 miligram juga digunakan untuk meringankan nyeri saraf,BAMGETOL Kapl salut selaput 200 miligram mengandung Carbamazepine BAMGETOL Kapl salut selaput 200 miligram digunakan mencegah dan mengontrol kejang BAMGETOL Kapl salut selaput 200 miligram dikenal antikonvulsan anti-epilepsi BAMGETOL Kapl salut selaput 200 miligram juga digunakan meringankan nyeri saraf
BANTIF CHILD SIRUP 60 ML Meredakan batuk nonproduktif tidak berdahak Hidung Tersumbat karena Flu Deskripsi,BANTIF CHILD SIRUP 60 ML Meredakan batuk nonproduktif berdahak Hidung Tersumbat karena Flu
"Per 5 mililiter Dextromethorphan HBr 7,5 miligram Pseudoephedrine HCl 15 miligram Anak 7-12 tahun 3 sehari 2 sendok takar 5 mililiter Anak 2-6 tahun 3 sehari 1 sendok takar 5 mililiter Sebelum atau sesudah makan Dus Botol 60 mililiter Hamil dan laktasi Item lainnya","Per 5 mililiter Dextromethorphan HBr 7,5 miligram Pseudoephedrine HCl 15 miligram Anak 7-12 tahun 3 sehari 2 sendok takar 5 mililiter Anak 2-6 tahun 3 sehari 1 sendok takar 5 mililiter Sebelum sesudah makan Botol 60 mililiter Hamil dan laktasi Item lainnya"
BAQUINOR FORTE 500 miligram KAPLET merupakan obat antibiotik yang mengandung Ciprofloxacin 500 miligram Ciprofloxacin merupakan turunan Quinolon dengan aktivitas antibakteri spektrum luas,BAQUINOR FORTE 500 miligram KAPLET merupakan antibiotik mengandung Ciprofloxacin 500 miligram Ciprofloxacin merupakan turunan Quinolon dengan aktivitas antibakteri spektrum luas
" obatBaraclude tablet 0,5 miligram entecavir 0,5 miligram Baraclude tablet 1 miligram entecavir 1 miligram","obatBaraclude 0,5 miligram entecavir 0,5 miligram Baraclude 1 miligram entecavir 1 miligram"
BARTOLIUM 5 miligram TABLET merupakan obat yang mengandung Flunarizine Obat ini digunakan untuk mencegah migrain gangguan perifer cerebrovaskular gangguan vertigo dan vestibular Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER,BARTOLIUM 5 miligram merupakan mengandung Flunarizine ini digunakan mencegah migrain gangguan perifer cerebrovaskular gangguan vertigo dan vestibular penggunaan ini harus SESUAI DENGAN PETUNJUK DOKTER PENGGUNAAN INI HARUS SESUAI DENGAN PETUNJUK DOKTER
Barzepin merupakan Sediaan tablet Salut Selaput yang mengandung Oxcarbazepine obat ini diproduksi oleh Novell Pharmaceuticals Lab,Barzepin merupakan Sediaan Salut Selaput mengandung Oxcarbazepine ini diproduksi oleh Novell Pharmaceuticals Lab
Obat ini tersedia dua kekuatan dosis yang berbeda yaitu Oxcarbazepine 600 miligram dan 300 miligram,ini tersedia dua kekuatan dosis berbeda yaitu Oxcarbazepine 600 miligram dan 300 miligram
"Batugin tersedia dalam bentuk sediaan syrup dalam botol atau sachet dengan kekuatan dosis tiap 30 mililiter syrup obat ini mengandung 3 gram ekstrak daun tempuyung Sonchi folium .0,3 gram ekstrak daun kejibeling Strobilanthi folium .","Batugin tersedia sediaan botol dengan kekuatan dosis 30 mililiter ini mengandung 3 gram ekstrak daun tempuyung Sonchi folium .0,3 gram ekstrak daun kejibeling Strobilanthi folium ."
Baxcef adalah serbuk injeksi yang diproduksi oleh Pratapa Nirmala Solas Langgeng Sejahtera,Baxcef adalah serbuk injeksi diproduksi oleh Pratapa Nirmala Solas Langgeng Sejahtera
Bactraz memiliki kandunganaktif Cefoperazone dan,Bactraz memiliki kandunganaktif Cefoperazone dan
BAYCUTEN N merupakan obat yang mengandung Clotrimazole dan Dexamethasone,BAYCUTEN N merupakan mengandung Clotrimazole dan Dexamethasone
Obat ini merupakan anti jamur yang digunakan terutama untuk mengatasi eksim dan inflamasi kulit yang disebabkan oleh jamur,ini merupakan anti jamur digunakan terutama mengatasi eksim dan inflamasi kulit disebabkan oleh jamur
B-BETA 5 miligram BOX 30 TABLET,B-BETA 5 miligram BOX 30
Mengandung bisoprolol yang digunakan untuk mengobati hipertensi atau tekanan darah tinggi sakit dada dan gagal jantung sehingga penyakit lain seperti stroke dan serangan jantung dapat dicegah,Mengandung bisoprolol digunakan mengobati hipertensi tekanan darah tinggi sakit dada dan gagal jantung sehingga penyakit lain seperti stroke dan serangan jantung dapat dicegah
BD-GARD Stripe Kapsul Penunjang Sistem Imun Suplemen KesehatanSuplemen kesehatan Mengandung Lactoferrin 100 miligram colostrum bovine 100 miligram Echinacea angustifolia 50 miligram vitamin C 50 miligram Zn picolinate 10 miligram Cocok untuk menstimulasi sistem imun selama infeksi akut atau kronik Item lainnya,BD-GARD Stripe Penunjang Sistem Imun Suplemen KesehatanSuplemen kesehatan Mengandung Lactoferrin 100 miligram colostrum bovine 100 miligram Echinacea angustifolia 50 miligram vitamin C 50 miligram Zn picolinate 10 miligram Cocok menstimulasi sistem imun selama infeksi akut kronik Item lainnya
"tiap tablet obat Bdm Tablet mengandung sebagai berikut Betamethasone 0,25 miligram Dexclorpheniramine maleat 2,0 miligram","Bdm mengandung Betamethasone 0,25 miligram Dexclorpheniramine maleat 2,0 miligram"
Becantex mengandung Rebamipide yaitu asam amino turunan kuinolon yang bekerja dengan meningkatkan sistem pertahanan dan perlindungan mukosa dengan mengaktifkan gen yang mengkode siklooksigenase-2 sehingga memberika efek sitoprotektif terhadap mukosa lambung,Becantex mengandung Rebamipide yaitu asam amino turunan kuinolon bekerja dengan meningkatkan sistem pertahanan dan perlindungan mukosa dengan mengaktifkan gen mengkode siklooksigenase-2 sehingga memberika efek sitoprotektif terhadap mukosa lambung
BECECAR 10 KAPSULSuplemen vitamin Beta-carotene 6 miligram vitamin C 100 miligram vitamin E 25 miligram 1 sehari 1 kapsul Aturan Pakai Sesudah makan Box isi 10 Stripe 10 kapsul Green Interbat,BECECAR 10 KAPSULSuplemen vitamin Beta-carotene 6 miligram vitamin C 100 miligram vitamin E 25 miligram 1 sehari 1 Aturan Pakai Sesudah makan Box isi 10 Stripe 10 Green Interbat
BECEFORT TABLET merupakan suplemen yang mengandung multivitamin Suplemen ini digunakan untuk membantu memelihara kesehatan dan daya tahan tubuh Vit B1 15 miligram vit B2 10 miligram vit B6 5 miligram vit B12 100 mikrogram vit C 500 miligram vit E 30 miligram Ca Pantothenate 20 miligram Nicotinamide 50 miligram,BECEFORT merupakan suplemen mengandung multivitamin Suplemen ini digunakan membantu memelihara kesehatan dan daya tahan tubuh Vit B1 15 miligram vit B2 10 miligram vit B6 5 miligram vit B12 100 mikrogram vit C 500 miligram vit E 30 miligram Ca Pantothenate 20 miligram Nicotinamide 50 miligram
Berikut adalah kandungan dan  dari Beclov Citicoline,adalah dan dari Beclov Citicoline
Indikasi Manfaat dan Kegunaan Beclov,Indikasi Manfaat dan Kegunaan Beclov
